# expandmorphsegmentations.pl, Mon May  1 11:09:58 2017
# Working dir: /home/ddubois/PycharmProjects/voynich-translation
# Input file: viterbitagsplit2.iii.tagged.gz.tmp
# -full: OFF
# -showstruct: OFF
2 Religion/STM
3 झलक/STM
2 ०५/STM
16 gks/STM
4 cM/STM
1 per/STM
1 health/STM
1 १९/STM + ०/STM + १/STM
2 Iykuh/STM
4 ok/STM
1 experiment/STM + al/SUF
2 Great/STM
1 ड/STM
1 mind/STM
1 Dawkins/STM
4 ckgj/STM
2 vUrj/STM
17 जय/STM
1 एफ/STM
2 sA/STM
9 पद/STM
6 dkQh/STM
10 kadq/STM
18 bl/STM
4 FksA/STM
2 उ/STM
2 १९/STM + ९/STM + ६/STM
1 Goldberg/STM
2 ce/STM
2 fnu/STM
2 phenomena/STM
4 ihfy/STM
6 blls/STM
2 vFkkZr/STM
6 आगम/STM
4 ygj/STM
1 1716/STM
10 vkSj/STM
10 lkFk/STM
8 ३/STM
2 fuLo/STM
2 1783/STM
1 ३००/STM
1 १५/STM
2 अन/STM
2 Vhys/STM
1 20/STM
11 लगभग/STM
1 1856/STM
2 rVh/STM
2 tSlk/STM
2 3000/STM
4 frgkbZ/STM
2 1920/STM
2 Hindu/STM + tva/STM
2 Beauty/STM
1 7783/STM
2 gVk/STM
1 work/STM
1 APA/STM
2 oydSuks/STM
2 tedj/STM
3 cognition/STM
1 Non/STM
27 जब/STM
2 ३२/STM
5 २०/STM
4 f/STM
2 scientific/STM
3 1947/STM
1 Martin/STM
2 Unique/STM
6 FkkA/STM
2 all/STM
4 ओ/STM
2 bZ/STM
2 yEcs/STM
2 fIyfu/STM
1 ऋष/STM + भ/STM
4 foLQksVd/STM
2 ftldk/STM
1 १७९७/STM
9 तब/STM
2 मन/STM + न/STM
2 iM/STM
1 instruments/STM
1 1987/STM
4 अवसर/STM
2 भगवद/STM
1 1646/STM
1 Richard/STM
4 gok/STM
49 कर/STM
1 900/STM
2 gksrh/STM
2 folwfwfwfo/STM
3 एक/STM + व/STM + चन/STM
10 ek/STM
2 ijr/STM
1 २००५/STM
8 inkFkZ/STM
1 चरम/STM
2 kuh/STM
2 fudyrs/STM
6 uyh/STM
1 Antichthones/STM
1 भगत/STM
1 कब/STM
2 Vksyl/STM
1 २००६/STM
3 N/STM
1 शहद/STM
1 १९/STM + ८/STM + ३/STM
20 कम/STM
2 ekfVZfud/STM
1 qualitative/STM
1 खबर/STM
2 leku/STM
5 आ/STM
1 Kierkegaard/STM
1 आए/STM
2 २१/STM
2 ØkØkVksvk/STM
2 ९/STM
1 गऊ/STM
1 १९/STM + ९/STM + ९/STM
8 आप/STM
4 ysrk/STM
2 eSnku/STM
1 जल/STM
3 स/STM
2 स/STM + फल/STM
38 k/STM
20 उस/STM
7 ई/STM
2 size/STM
1 एन/STM
41 न/STM
2 fp/STM
2 foLr/STM
1 Jung/STM
1 programm/STM + ing/STM
1 ७०/STM
1 per/STM + suasion/STM
1 SC/STM
1 life/STM
10 tSls/STM
1 stochastic/STM
1 शवसन/STM
14 izdkj/STM
1 शत/STM
14 ½/STM
2 1950/STM
6 gokbZ/STM
1 meaningful/STM
1 relationships/STM
1 unconscious/STM
